"","state","quantile","occ_category","share_quantile","percentile"
"126","AK",7,"Computer and Mathematical",0.00111152278621712,0.175
"127","AK",7,"Life, Physical, and Social Science",0.0105594664690626,0.175
"128","AK",7,"Community and Social Services",0.000926268988514265,0.175
"129","AK",7,"Legal",0.0163023341978511,0.175
"130","AK",7,"Education, Training, and Library",0.0094479436828455,0.175
"131","AK",7,"Arts, Design, Entertainment, Sports, and Media",0.0161170804001482,0.175
"132","AK",7,"Healthcare Practitioners and Technicians",0.0502037791774731,0.175
"133","AK",7,"Healthcare Support",0.00926268988514265,0.175
"134","AK",7,"Protective Service",0.00277880696554279,0.175
"135","AK",7,"Food Preparation and Serving",0.138199333086328,0.175
"136","AK",7,"Building and Grounds Cleaning and Maintenance",0.0405705816969248,0.175
"137","AK",7,"Personal Care and Service",0.0720637273064098,0.175
"138","AK",7,"Sales and Related",0.136902556502408,0.175
"139","AK",7,"Office and Administrative Support",0.13764357169322,0.175
"140","AK",7,"Construction",0.0381622823267877,0.175
"141","AK",7,"Installation, Maintenance, and Repair",0.0146350500185254,0.175
"142","AK",7,"Production",0.0891070766950722,0.175
"143","AK",7,"Transportation and Material Moving",0.127639866617266,0.175
"144","AK",7,"Not Identified",0.013894034827714,0.175
"145","AK",8,"Other Managers",0.00165441176470588,0.2
"146","AK",8,"Business Operations Specialists",0.0290441176470588,0.2
"147","AK",8,"Financial Specialists",0.00238970588235294,0.2
"148","AK",8,"Computer and Mathematical",0.0108455882352941,0.2
"149","AK",8,"Architecture and Engineering",0.00110294117647059,0.2
"150","AK",8,"Life, Physical, and Social Science",0.000183823529411765,0.2
"151","AK",8,"Community and Social Services",0.0387867647058824,0.2
"152","AK",8,"Legal",0.00919117647058824,0.2
"153","AK",8,"Arts, Design, Entertainment, Sports, and Media",0.05,0.2
"154","AK",8,"Healthcare Practitioners and Technicians",0.0373161764705882,0.2
"155","AK",8,"Healthcare Support",0.0253676470588235,0.2
"156","AK",8,"Protective Service",0.0137867647058824,0.2
"157","AK",8,"Food Preparation and Serving",0.141911764705882,0.2
"158","AK",8,"Building and Grounds Cleaning and Maintenance",0.0297794117647059,0.2
