"","state","occ_category","median_income","quantile","share_quantile"
"317","IA","Architecture and Engineering",85383,1,0.0168980173331033
"318","IA","Life, Physical, and Social Science",56634,1,0.00663424240664667
"319","IA","Community and Social Services",59000,1,0.0228321966850052
"320","IA","Legal",47195,1,0.014513223095211
"321","IA","Education, Training, and Library",54000,1,0.00838930702753718
"322","IA","Arts, Design, Entertainment, Sports, and Media",24990,1,0.0201717935108408
"323","IA","Healthcare Practitioners and Technicians",57269,1,0.066954161408697
"324","IA","Healthcare Support",29263,1,0.0257240459391845
"325","IA","Protective Service",30000,1,0.00574444263612996
"326","IA","Food Preparation and Serving",12979,1,0.0595838713977626
"327","IA","Building and Grounds Cleaning and Maintenance",22418,1,0.0262687211663574
"328","IA","Personal Care and Service",20000,1,0.0261485000576571
"329","IA","Sales and Related",35000,1,0.101996570018164
"330","IA","Office and Administrative Support",35000,1,0.124909731939641
"331","IA","Farming, Fishing, and Forestry",35000,1,0.0114578077067455
"332","IA","Construction",47000,1,0.0455965134242816
"333","IA","Extraction",58526,1,0.000882439294473836
"334","IA","Installation, Maintenance, and Repair",52063,1,0.0397514776155656
"335","IA","Production",43200,1,0.100271765132116
"336","IA","Transportation and Material Moving",37485,1,0.0874040173478242
"337","IA","Not Identified",40000,1,0.0135171053374083
"338","ID","Chief Executives",160000,1,0.00584638191420365
"339","ID","Other Managers",78785,1,0.00845764229902097
"340","ID","Business Operations Specialists",67253,1,0.0867414064671546
"341","ID","Financial Specialists",54000,1,0.035847308440656
"342","ID","Computer and Mathematical",78000,1,0.0293369159022823
"343","ID","Architecture and Engineering",93713,1,0.0195512523549214
"344","ID","Life, Physical, and Social Science",56000,1,0.0072145526421446
"345","ID","Community and Social Services",52063,1,0.0214429105284289
"346","ID","Legal",48000,1,0.0127351060872788
"347","ID","Education, Training, and Library",44570,1,0.00773186324469564
"348","ID","Arts, Design, Entertainment, Sports, and Media",24000,1,0.0222428116989407
"349","ID","Healthcare Practitioners and Technicians",62475,1,0.0631813829951512
"350","ID","Healthcare Support",29200,1,0.0305846381914204
"351","ID","Protective Service",29263,1,0.00435467432595201
"352","ID","Food Preparation and Serving",12495,1,0.0703696840544798
"353","ID","Building and Grounds Cleaning and Maintenance",22418,1,0.0310031193057228
"354","ID","Personal Care and Service",15619,1,0.028916890577226
"355","ID","Sales and Related",33112,1,0.105117514438371
"356","ID","Office and Administrative Support",30800,1,0.12875938108033
"357","ID","Farming, Fishing, and Forestry",33037,1,0.0192146144105748
"358","ID","Construction",40000,1,0.0621930881126656
"359","ID","Extraction",60000,1,0.0022530034899163
"360","ID","Installation, Maintenance, and Repair",50000,1,0.0378069118873344
"361","ID","Production",39000,1,0.0663114981932734
