"","state","income_cutoff","F","M","16-24","25-34","35-44","45-64","65 and above","African American","Asian and Pacific Islander","Multi-racial","Native American","Other race","White","Bachelor's or above","High school or below","Some college","quantile"
"204","WY",8104,0.415380767642457,0.584619232357543,0.14070924625863,0.230374166080184,0.234416532405819,0.335946815255134,0.0585532400002327,0.00674697113343299,0.00729370844941807,0.0647592901721059,0.0120747517870749,0.0361719081713963,0.872953370286572,0.232247032205154,0.462266400665391,0.305486567129455,4
"205","AK",11799,0.451349428155971,0.548650571844029,0.118700176348655,0.256195406684748,0.237983025152887,0.332979260985696,0.0541421308280137,0.0300978683469634,0.114528654078192,0.103060835129477,0.0846886054018377,0.0328359132488372,0.634788123794693,0.279002134746873,0.441882289851186,0.279115575401941,5
"206","AL",10413,0.459169542965761,0.54083045703424,0.119476884230669,0.240443374478352,0.217953481559323,0.369185782829284,0.052940476902372,0.244113973337598,0.0169493916938171,0.0376741989084285,0.00448494369127999,0.0218401639977612,0.674937328371116,0.277042530704227,0.445757713599223,0.27719975569655,5
"207","AR",11799,0.454537376255164,0.545462623744836,0.121158300029133,0.248905826257245,0.223891962786282,0.358567287607688,0.0474766233196517,0.129497754286428,0.0241499976941083,0.0885349938753266,0.00626640135788902,0.0353768783175314,0.716173974468717,0.258068652583105,0.484228263033631,0.257703084383264,5
"208","AZ",12391,0.446983054157121,0.553016945842879,0.125312861046375,0.25766732211175,0.217444309524302,0.349103890317987,0.0504716169995862,0.0495102193578691,0.0445255529025985,0.158166624372794,0.0268887879308972,0.0886724400368902,0.632236375398951,0.321101534761825,0.412049487789678,0.266848977448496,5
"209","CA",13300,0.43670606419475,0.56329393580525,0.0957635218089254,0.27016749133003,0.235235180944599,0.352081432412461,0.0467523735039842,0.047338190409968,0.178006582554196,0.151379594790124,0.0108187024622255,0.18323065309492,0.429226276688567,0.384185647308771,0.392440515644409,0.22337383704682,5
"210","CO",12507,0.443668562131875,0.556331437868125,0.109121726455885,0.276968776216007,0.233970854408107,0.333722606873207,0.046216036046795,0.0368049485052777,0.0374245884484627,0.11458836036223,0.00867300141645971,0.0548719068171162,0.747637194450454,0.448105399481773,0.327000541328418,0.224894059189809,5
"211","CT",12000,0.472020411523152,0.527979588476848,0.095242221415242,0.224726049032713,0.210963710309505,0.403356810155977,0.0657112090865623,0.106819411742928,0.0544286278071555,0.0859384046526173,0.00225210499740445,0.0710409545963344,0.679520496203561,0.449074777920706,0.354388690163445,0.196536531915849,5
"212","DC",20259,0.523878690854147,0.476121309145853,0.0704803619128136,0.394789858526626,0.243908910214324,0.246809429159884,0.0440114401863527,0.30562026136149,0.049021018644266,0.0795776484660977,0.00495561531474003,0.0496191101477691,0.511206346065637,0.749440132389578,0.153664547114321,0.0968953204961012,5
"213","DE",11255,0.477664826656465,0.522335173343535,0.100034614053306,0.23533305399185,0.216583775117961,0.385633953349972,0.0624146034869104,0.221745519909153,0.0508401498727782,0.0710954436975096,0.00298470301749528,0.0449011070424417,0.608433076460622,0.355033915699599,0.420038500543501,0.2249275837569,5
