"","OCC2010","median_wage","num_workers","Label"
"221",5140,42000,9526,"Payroll and Timekeeping Clerks"
"222",5360,42000,9626,"Human Resources Assistants, Except Payroll and Timekeeping"
"223",8640,42000,5802,"Chemical Processing Machine Setters, Operators, and Tenders"
"224",205,41650,13639,"Farmers, Ranchers, and Other Agricultural Managers"
"225",1900,41650,4859,"Agricultural and Food Science Technicians"
"226",2000,41650,162752,"Counselors"
"227",2150,41650,19152,"Legal Support Workers, nec"
"228",2550,41650,16312,"Education, Training, and Library Workers, nec"
"229",4200,41650,3369,"First-Line Supervisors of Housekeeping and Janitorial Workers"
"230",4740,41650,4883,"Counter and Rental Clerks"
"231",5230,41650,3867,"Credit Authorizers, Checkers, and Clerks"
"232",5250,41650,7090,"Eligibility Interviewers, Government Programs"
"233",5940,41650,85025,"Office and administrative support workers, nec"
"234",7240,41650,338,"Small Engine Mechanics"
"235",5560,41600,1154,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
"236",2800,41296,2875,"Announcers"
"237",5520,41296,12284,"Dispatchers"
"238",5840,41296,14505,"Insurance Claims and Policy Processing Clerks"
"239",7010,41296,7964,"Computer, Automated Teller, and Office Machine Repairers"
"240",8010,41296,131,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
"241",6240,40518,762,"Carpet, Floor, and Tile Installers and Finishers"
"242",5410,40116,6359,"Reservation and Transportation Ticket Agents and Travel Clerks"
"243",7340,40116,10055,"Maintenance and Repair Workers, General"
"244",2140,40000,66611,"Paralegals and Legal Assistants"
"245",2900,40000,12601,"Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other"
"246",3240,40000,53138,"Therapists, nec"
"247",3610,40000,4346,"Occupational Therapy Assistants and Aides"
"248",5110,40000,20097,"Billing and Posting Clerks"
"249",5350,40000,4698,"Correspondent clerks and order clerks"
"250",6360,40000,482,"Glaziers"
"251",7120,40000,787,"Electronic Home Entertainment Equipment Installers and Repairers"
"252",7560,40000,292,"Riggers"
"253",7730,40000,110,"Engine and Other Machine Assemblers"
"254",8720,40000,412,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
"255",9050,40000,8444,"Flight Attendants and Transportation Workers and Attendants"
"256",6400,39568,503,"Insulation Workers"
"257",8940,39568,28,"Tire Builders"
"258",5120,39393,35032,"Bookkeeping, Accounting, and Auditing Clerks"
"259",5420,39393,9710,"Information and Record Clerks, All Other"
"260",6230,39393,12938,"Carpenters"
"261",6720,39393,733,"Hazardous Materials Removal Workers"
"262",7100,39393,902,"Electrical and electronics repairers, transportation equipment, and industrial and utility"
"263",7420,39393,1525,"Telecommunications Line Installers and Repairers"
"264",5240,39000,210794,"Customer Service Representatives"
"265",9300,39000,2024,"Sailors and marine oilers, and ship engineers"
"266",4400,38267,2036,"Gaming Services Workers"
"267",4460,38267,2310,"Funeral Service Workers and Embalmers"
"268",9720,38228,1152,"Refuse and Recyclable Material Collectors"
"269",2040,38000,31112,"Clergy"
"270",5220,38000,5733,"Court, Municipal, and License Clerks"
"271",4830,37756,2673,"Travel Agents"
"272",6220,37756,1497,"Brickmasons, Blockmasons, and Stonemasons"
"273",8550,37742.5,526,"Woodworkers including model makers and patternmakers, nec"
"274",8965,37589,22161,"Other production workers including semiconductor processors and cooling and freezing equipment operators"
"275",5700,37500,143474,"Secretaries and Administrative Assistants"
"276",5100,37166,5886,"Bill and Account Collectors"
"277",5910,37142,1221,"Proofreaders and Copy Markers"
"278",3210,37000,3623,"Recreational Therapists"
"279",6130,37000,743,"Logging Workers"
"280",2860,36930,11126,"Media and Communication Workers, nec"
"281",8930,36700,78,"Paper Goods Machine Setters, Operators, and Tenders"
"282",3510,36691,6144,"Medical Records and Health Information Technicians"
"283",3400,36444,22620,"Emergency Medical Technicians and Paramedics"
"284",5010,36444,651,"Switchboard Operators, Including Answering Service"
"285",7630,36444,3907,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers"
"286",9750,36444,999,"Material moving workers, nec"
"287",2430,36236,17375,"Librarians"
"288",2050,36000,8463,"Directors, Religious Activities and Education"
"289",2400,36000,10797,"Archivists, Curators, and Museum Technicians"
"290",7200,36000,8327,"Automotive Service Technicians and Mechanics"
"291",1960,35397,65257,"Life, Physical, and Social Science Technicians, nec"
"292",5630,35397,2601,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
"293",6260,35397,20965,"Construction Laborers"
"294",2300,35000,93326,"Preschool and Kindergarten Teachers"
"295",5820,35000,2240,"Word Processors and Typists"
"296",8250,35000,1436,"Prepress Technicians and Workers"
"297",9510,35000,402,"Crane and Tower Operators"
"298",9600,35000,5560,"Industrial Truck and Tractor Operators"
"299",8800,34900,3483,"Packaging and Filling Machine Operators and Tenders"
"300",4240,34400,2408,"Pest Control Workers"
"301",7850,33990,218,"Food Cooking Machine Operators and Tenders"
"302",3930,33765,33492,"Security Guards and Gaming Surveillance Officers"
"303",7150,33765,636,"Automotive Body and Related Repairers"
"304",7950,33765,540,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
"305",8760,33765,5178,"Medical, Dental, and Ophthalmic Laboratory Technicians"
"306",2910,33320,14216,"Photographers"
"307",7510,33320,523,"Coin, Vending, and Amusement Machine Servicers and Repairers"
"308",8750,33320,2018,"Jewelers and Precious Stone and Metal Workers"
"309",7720,32799,2309,"Electrical, Electronics, and Electromechanical Assemblers"
"310",6515,32640,1210,"Roofers"
"311",7750,32565,14207,"Assemblers and Fabricators, nec"
"312",9260,32000,271,"Subway, Streetcar, and Other Rail Transportation Workers"
"313",6120,31739,1181,"Forest and Conservation Workers"
"314",4900,31514,2042,"Models, Demonstrators, and Product Promoters"
"315",6005,31514,1614,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
"316",8500,31514,482,"Cabinetmakers and Bench Carpenters"
"317",3530,31238,11562,"Health Technologists and Technicians, nec"
"318",4530,31238,4113,"Baggage Porters, Bellhops, and Concierges"
"319",4750,31238,1861,"Parts Salespersons"
"320",5610,31238,16639,"Shipping, Receiving, and Traffic Clerks"
"321",8810,31238,1200,"Painting Workers and Dyers"
"322",8920,31238,782,"Molders, Shapers, and Casters, Except Metal and Plastic"
"323",5260,31000,8962,"File Clerks"
"324",3260,30677,973,"Health Diagnosing and Treating Practitioners, nec"
"325",3520,30677,3380,"Opticians, Dispensing"
"326",4940,30389,2293,"Telemarketers"
"327",2720,30000,47525,"Athletes, Coaches, Umpires, and Related Workers"
"328",2760,30000,4682,"Entertainers and Performers, Sports and Related Workers, All Other"
"329",3950,30000,13812,"Law enforcement workers, nec"
"330",4340,30000,3755,"Animal Trainers"
"331",6330,30000,457,"Drywall Installers, Ceiling Tile Installers, and Tapers"
"332",7030,30000,514,"Avionics Technicians"
"333",7810,30000,2944,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
"334",9100,30000,2942,"Bus and Ambulance Drivers and Attendants"
"335",9630,30000,603,"Machine Feeders and Offbearers"
"336",8910,29826,282,"Etchers, Engravers, and Lithographers"
"337",4010,29497,19664,"First-Line Supervisors of Food Preparation and Serving Workers"
"338",4250,29497,21406,"Grounds Maintenance Workers"
"339",5020,29497,1241,"Telephone Operators"
"340",5160,29497,20194,"Bank Tellers"
"341",5810,29497,23647,"Data Entry Keyers"
"342",6050,29497,18392,"Agricultural workers, nec"
"343",7830,29497,547,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
"344",8350,29263,1452,"Tailors, Dressmakers, and Sewers"
"345",4040,29155,40044,"Bartenders"
"346",4640,29155,7531,"Residential Advisors"
"347",5860,29155,70393,"Office Clerks, General"
"348",7855,29155,1454,"Food Processing, nec"
"349",5310,28317,13664,"Interviewers, Except Eligibility and Loan"
"350",3410,28199,79257,"Health Diagnosing and Treating Practitioner Support Technicians"
"351",3640,28138,13794,"Dental Assistants"
"352",2060,28114,7976,"Religious Workers, nec"
"353",6040,28114,956,"Graders and Sorters, Agricultural Products"
"354",9360,28057,1958,"Automotive and Watercraft Service Attendants"
"355",4620,28000,47418,"Recreation and Fitness Workers"
"356",2200,27912,231317,"Postsecondary Teachers"
"357",5400,27012,79595,"Receptionists and Information Clerks"
"358",3650,27000,92671,"Medical Assistants and Other Healthcare Support Occupations, nec"
"359",2750,26547,14744,"Musicians, Singers, and Related Workers"
"360",2740,26031,2567,"Dancers and Choreographers"
"361",4650,26031,6824,"Personal Care and Service Workers, All Other"
"362",4760,26031,164732,"Retail Salespersons"
"363",5850,26031,2445,"Mail Clerks and Mail Machine Operators, Except Postal Service"
"364",5900,26031,1722,"Office Machine Operators, Except Computer"
"365",7840,26031,2343,"Food Batchmakers"
"366",8510,26031,65,"Furniture Finishers"
"367",9130,26031,44640,"Driver/Sales Workers and Truck Drivers"
"368",6420,26000,4654,"Painters, Construction and Maintenance"
"369",3620,25957,18682,"Physical Therapist Assistants and Aides"
"370",8000,25900,582,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
"371",8320,25887,1600,"Sewing Machine Operators"
"372",6710,25774,294,"Fence Erectors"
"373",7260,25099,1496,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers, nec"
"374",3630,25000,3426,"Massage Therapists"
"375",4350,25000,20772,"Nonfarm Animal Caretakers"
"376",9620,25000,51428,"Laborers and Freight, Stock, and Material Movers, Hand"
"377",9640,25000,9302,"Packers and Packagers, Hand"
"378",8310,24990,165,"Pressers, Textile, Garment, and Related Materials"
"379",9150,24990,1380,"Motor Vehicle Operators, All Other"
"380",5300,24874,8375,"Hotel, Motel, and Resort Desk Clerks"
"381",4950,24000,2693,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
"382",7040,24000,339,"Electric Motor, Power Tool, and Related Repairers"
"383",3600,23949,53416,"Nursing, Psychiatric, and Home Health Aides"
"384",8650,23949,1233,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
"385",8710,23700,460,"Cutting Workers"
"386",5620,23636,53862,"Stock Clerks and Order Fillers"
"387",8230,23636,3502,"Bookbinders, Printing Machine Operators, and Job Printers"
"388",2540,23598,153065,"Teacher Assistants"
"389",4220,23598,21932,"Janitors and Building Cleaners"
"390",7800,23598,8253,"Bakers"
"391",4000,23000,45010,"Chefs and Cooks"
"392",8530,22908,102,"Sawing Machine Setters, Operators, and Tenders, Wood"
"393",9140,22654,9206,"Taxi Drivers and Chauffeurs"
"394",2340,22595,95550,"Other Teachers and Instructors"
"395",4510,22510,6873,"Hairdressers, Hairstylists, and Cosmetologists"
"396",4520,22510,6229,"Personal Appearance Workers, nec"
"397",4610,22510,30879,"Personal Care Aides"
"398",8850,22418,78,"Adhesive Bonding Machine Operators and Tenders"
"399",4500,22000,1119,"Barbers"
"400",9610,21658,5739,"Cleaners of Vehicles and Equipment"
"401",8450,21483,152,"Upholsterers"
"402",8300,21238,1336,"Laundry and Dry-Cleaning Workers"
"403",5510,20825,19799,"Couriers and Messengers"
"404",6600,20825,857,"Helpers, Construction Trades"
"405",4110,20259,120917,"Waiters and Waitresses"
"406",8330,20259,247,"Shoe and Leather Workers and Repairers"
"407",4540,20000,7757,"Tour and Travel Guides"
"408",4120,18000,6258,"Food Servers, Nonrestaurant"
"409",8730,18000,87,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
"410",2440,17698,2407,"Library Technicians"
"411",8950,17698,1573,"Helpers--Production Workers"
"412",9350,17698,2365,"Parking Lot Attendants"
"413",7540,17000,147,"Locksmiths and Safe Repairers"
"414",4430,16883,16465,"Entertainment Attendants and Related Workers, nec"
"415",4050,16700,46443,"Combined Food Preparation and Serving Workers, Including Fast Food"
"416",4600,15878.5,46574,"Childcare Workers"
"417",4230,15757,7722,"Maids and Housekeeping Cleaners"
"418",5320,15619,11747,"Library Assistants, Clerical"
"419",4720,15338,81539,"Cashiers"
"420",4030,15000,17002,"Food Preparation Workers"
"421",7610,14159,480,"Helpers--Installation, Maintenance, and Repair Workers"
"422",4150,13506,11689,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop"
"423",4140,12500,1961,"Dishwashers"
"424",4130,11400,6630,"Food preparation and serving related workers, nec"
"425",3940,10029,328,"Crossing Guards"
"426",4420,9700,2153,"Ushers, Lobby Attendants, and Ticket Takers"
